upazila_code,type,param,area,percent,len
405039,krgp,K4,3359456,71.14,200-210/115-135 days
405039,cwz,T4,4722533,100,70-90 days
405039,hsz,E2,4722533,100,0.5-5 days
405063,pktp,P5,1085945,100,50-60 days
405063,krgp,K5,1085945,100,210-220/120-140 days
405063,cwz,T4,1085945,100,70-90 days
405063,hsz,E2,1085945,100,0.5-5 days
405071,pktp,P5,2689283,100,50-60 days
405071,krgp,K5,2689283,100,210-220/120-140 days
405071,cwz,T4,2689283,100,70-90 days
405071,hsz,E2,2689283,100,0.5-5 days
405094,pktp,P5,3948772,100,50-60 days
405094,krgp,K5,3948772,100,210-220/120-140 days
405094,cwz,T4,3948772,100,70-90 days
405094,hsz,E2,3948772,100,0.5-5 days
405079,pktp,P5,3184409,100,50-60 days
405079,krgp,K5,3184409,100,210-220/120-140 days
405079,cwz,T4,3184409,100,70-90 days
405079,hsz,E2,3184409,100,0.5-5 days
405566,pktp,P4,1913556,86.73,40-50 days
405566,pktp,P5,292817,13.27,50-60 days
405566,krgp,K5,2206374,100,210-220/120-140 days
405566,cwz,T4,55929,2.53,70-90 days
405566,cwz,T3,2150445,97.47,50-70 days
405566,hsz,E2,2206374,100,0.5-5 days
405557,pktp,P4,1919833,47.58,40-50 days
405557,pktp,P5,2115026,52.42,50-60 days
405557,krgp,K5,4034858,100,210-220/120-140 days
405557,cwz,T4,3836234,95.08,70-90 days
405557,cwz,T3,198624,4.92,50-70 days
405557,hsz,E2,4034858,100,0.5-5 days
405585,pktp,P5,2251710,100,50-60 days
405585,krgp,K5,2251710,100,210-220/120-140 days
405585,cwz,T4,2251710,100,70-90 days
405585,hsz,E2,2251710,100,0.5-5 days
405595,pktp,P4,1811019,100,40-50 days
405595,krgp,K5,1811019,100,210-220/120-140 days
405595,cwz,T4,1791003,98.89,70-90 days
405595,cwz,T3,20017,1.11,50-70 days
405595,hsz,E2,1811019,100,0.5-5 days
405747,pktp,P5,3420570,100,50-60 days
405747,krgp,K5,574835,16.81,210-220/120-140 days
405747,krgp,K4,2845735,83.19,200-210/115-135 days
405747,cwz,T4,3420570,100,70-90 days
405747,hsz,E2,3420570,100,0.5-5 days
405787,pktp,P5,3330486,100,50-60 days
405787,krgp,K4,3330486,100,200-210/115-135 days
405787,cwz,T4,3330486,100,70-90 days
405787,hsz,E2,3330486,100,0.5-5 days
405760,pktp,P5,1444961,100,50-60 days
405760,krgp,K4,1444961,100,200-210/115-135 days
405760,cwz,T4,1444961,100,70-90 days
405760,hsz,E2,1444961,100,0.5-5 days
